features,importance,model,used_in_automl
trans_trans_last_0_6_trans_type_cd_refunds_trans_amt_max,0.0,LGBMRegressor(),
orders_ords_last_0_6_orig_order_value_amt_max,5.0,LGBMRegressor(),
online_submailability_sub_last_0_3_count,6.0,LGBMRegressor(),
trans_trans_last_0_6_trans_amt_payment_max,7.0,LGBMRegressor(),
orders_ords_last_24_24_comm_channel_type_cd_i_orig_order_value_amt_min,1.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_solicited_class_cd_h_order_no_countdist,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_second_chr_final_key_cd_y_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_xsell_category_reason_cd_1_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_xsell_category_cd_p_xsell_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_xsell_category_reason_cd_1_xsell_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_mean,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_12_24_lob_cd_2_per,13.0,LGBMRegressor(),
online_submailability_sub_last_24_24_count,6.0,LGBMRegressor(),1.0
efforts_xsell_eff_last_0_6_xsell_effort_id_countdist,1.0,LGBMRegressor(),
trans_trans_last_6_12_trans_type_cd_650_trans_amt_max,1.0,LGBMRegressor(),
trans_trans_last_24_24_lob_cd_9_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_lob_cd_4_xsell_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_0_6_lob_cd_1_trans_amt_payment_sum,0.0,LGBMRegressor(),
trans_trans_trans_type_cd_returns_days_since_trans_max,4.0,LGBMRegressor(),
orders_ords_last_24_24_lob_cd_2_orig_order_value_amt_sd,1.0,LGBMRegressor(),
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_d_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_6_12_trans_type_cd_returns_trans_amt_max,0.0,LGBMRegressor(),
customer_order_inquiry_cs_last_24_24_resolution_type_cd_cim_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_6_12_order_pay_catg_cd_d_order_no_countdist,0.0,LGBMRegressor(),
trans_trans_last_24_24_lob_cd_1_trans_amt_payment_max,1.0,LGBMRegressor(),
order_items_item_last_12_24_line_item_qty_sd,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_first_chr_final_key_cd_k_effort_id_countdist,0.0,LGBMRegressor(),
efforts_welcome_eff_last_12_24_effort_id_countdist,1.0,LGBMRegressor(),
orders_ords_last_0_6_order_pay_catg_cd_k_orig_order_value_amt_sd,0.0,LGBMRegressor(),
order_items_item_last_6_12_unit_cost_amt_sum,12.0,LGBMRegressor(),
efforts_welcome_eff_last_full_third_chr_final_key_cd_f_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_min,6.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_affinity_cd_hliving_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_comm_channel_type_cd_i_orig_order_value_amt_sum,4.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_a_orig_order_value_amt_sd,2.0,LGBMRegressor(),
trans_trans_last_0_6_lob_cd_9_trans_amt_payment_sd,0.0,LGBMRegressor(),
efforts_xsell_eff_full_business_category_cd_a_days_since_xsell_effort_min,2.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_affinity_cd_ukn_xsell_effort_id_countdist,0.0,LGBMRegressor(),
composite_orders_ords_last_12_24_order_pay_catg_cd_k_per,0.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_k_orig_order_value_amt_sum,0.0,LGBMRegressor(),
trans_trans_last_24_24_lob_cd_9_trans_amt_payment_sum,2.0,LGBMRegressor(),
efforts_customer_eff_last_24_24_effort_type_cd_g_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_6_12_xsell_category_reason_cd_2_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_affinity_cd_default_xsell_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_6_12_trans_amt_payment_sum,17.0,LGBMRegressor(),1.0
efforts_xsell_eff_last_12_24_solicited_class_cd_n_xsell_effort_id_countdist,6.0,LGBMRegressor(),1.0
orders_ords_last_0_6_lob_cd_i_orig_order_value_amt_sd,3.0,LGBMRegressor(),
customer_order_inquiry_cs_last_0_6_comm_channel_type_cd_i_order_no_countdist,0.0,LGBMRegressor(),
efforts_customer_eff_last_12_24_effort_type_cd_17_effort_id_countdist,5.0,LGBMRegressor(),
orders_ords_last_12_24_comm_channel_type_cd_i_orig_order_value_amt_min,5.0,LGBMRegressor(),
efforts_xsell_eff_last_6_12_xsell_category_cd_ukn_order_no_countdist,0.0,LGBMRegressor(),
