,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
order_items_item_last_6_12_product_type_cd_a_line_item_qty_max,0.0,9.959964823567441e-05,9.881838069235675e-05,7.623280829555703e-05,0.00013884610578842493,8.832394139071836e-05,8.36368140671219e-05
efforts_customer_eff_last_0_6_effort_type_cd_id_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.00018616138547928636,0.0002847127159684713,0.0007852859124765396,0.0005687083752210252,0.0008806387627081006,0.0006400755780669545,0.0005575971216533962
efforts_prospect_eff_last_full_first_chr_final_key_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_order_pay_catg_cd_g_orig_order_value_amt_mean,0.0011110427555915793,0.0005934989480174551,0.00041474483263273716,0.00021144689550175988,0.0001365946324447736,0.0001701905356417732,0.000439586433305013
nonorders_nonords_last_12_24_lob_cd_9_count,0.006972612636961585,0.0031376610935337653,0.0019009565379369713,0.0019278843209643481,0.0017436280347207778,0.0016226007119018386,0.0028842238893365475
orders_ords_last_0_6_lob_cd_i_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_first_chr_final_key_cd_v_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_swat_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_xsell_category_cd_ukn_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_comm_channel_type_cd_t_orig_order_value_amt_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_full_first_chr_final_key_cd_d_effort_id_countdist,7.478865017426191e-05,0.0006397063894738454,0.0008239662163503408,0.0006967025648156862,0.0010514136573449985,0.0009707641101573203,0.0007095569313860754
efforts_xsell_eff_last_6_12_affinity_cd_audio_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_order_pay_catg_cd_k_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_12_24_trans_type_cd_650_trans_amt_mean,0.00038946404850622395,0.000491344710023046,0.0008739865296278995,0.0011105755449528822,0.001203460966665605,0.0010086144568144618,0.0008462410427650198
order_items_item_last_12_24_major_categ_cd_spmi_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fifth_chr_final_key_cd_9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,0.025306476694415055,0.011875821706182867,0.009696504590060835,0.007752244401521955,0.007040053598905699,0.00627771075685622,0.011324801957990436
efforts_xsell_eff_last_0_6_xsell_category_reason_cd_1_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_24_24_solicited_class_cd_h_order_no_countdist,0.0,0.00012921613362918774,0.0003116247569031271,0.0003565980855962125,0.0004961880306319069,0.00040178456318748084,0.00028256859499131915
efforts_xsell_eff_last_0_6_xsell_category_cd_t_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_affinity_cd_audio_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_1_effort_id_countdist,0.0003540292628621418,0.0007498160193841736,0.0008634974876551116,0.0010090959798642407,0.0011920078450052783,0.0013168738955106347,0.0009142200817135969
prospect_preliminary_pr_24_24_match_group_individual_ct_8_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_major_categ_cd_prem_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_b_line_item_qty_sum,0.00046381378797850584,0.0002031351734490068,0.000333279900156441,0.0004862537752770229,0.0005343069394406981,0.00040867543975174955,0.00040491083600890406
efforts_prospect_eff_effort_type_cd_d_days_since_effort_min,0.000796886603724934,0.0015531734118295073,0.001633362893207718,0.0017942866056948458,0.0018580333173532492,0.0017749440595775528,0.0015684478152313012
orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.00022251890982112553,0.0002242789357165194,0.0006678605452040498,0.0009330653813175734,0.0007937006225400968,0.000772535736742563,0.0006023266885569879
efforts_xsell_eff_last_24_24_lob_cd_2_order_no_countdist,0.00014646502876146896,0.0002596551534992258,0.00024077431472809924,0.00023662976501573175,0.0003538378147540581,0.00032523723658815757,0.00026043321889112356
efforts_customer_eff_last_full_fourth_chr_final_key_cd_3_effort_id_countdist,0.00018869637291728608,0.000574153188843056,0.0007627993777036,0.0008178445701738129,0.0010282188045410122,0.0009352604725096541,0.0007178287977814035
orders_ords_last_24_24_lob_cd_i_order_no_countdist,4.518581669386649e-05,0.00028017253144815174,0.0002884913622049123,0.00042955516906359426,0.00029580002719041727,0.00035445740299604997,0.00028227705159949865
orders_ords_last_6_12_order_pay_catg_cd_d_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_full_first_chr_final_key_cd_p_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_h_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_0_6_lob_cd_1_trans_amt_payment_sd,0.00032572138538926516,0.000838756408831623,0.00024724958166905104,0.00038947333503121787,8.580827194187352e-05,0.00012701059380846932,0.0003356699294452499
efforts_xsell_eff_last_12_24_solicitation_type_cd_r_xsell_effort_id_countdist,0.00032522847940337046,0.00020216861070328982,0.00025516103336688863,0.00030770114457749116,0.0002333834834479065,0.00018076748950100185,0.00025073504016665806
orders_ords_last_6_12_lob_cd_i_orig_order_value_amt_sum,0.00030959724553440167,0.0004742911618025844,0.0006187068698497941,0.00035073719010852224,0.0003634165492527482,0.0004500337350894937,0.00042779712527292403
efforts_customer_eff_last_0_6_lob_cd_2_effort_id_countdist,0.00031593938674529676,0.0005113496612143133,0.0008105609924621018,0.0008516446596536503,0.0009663329827719961,0.0010277703109409341,0.0007472663322980486
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_y_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_line_item_qty_min,0.004272244683178588,0.002110037811029147,0.0010185651340890996,0.0006656012274362957,0.0004281674392498038,0.00034549490784486716,0.0014733518671379668
efforts_prospect_eff_last_full_first_chr_final_key_cd_s_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_r_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_12_24_order_no_countdist,0.0,0.00021809530631240919,0.00042109203612318054,0.00046575462731427477,0.0004616870812617558,0.00040367919523170585,0.00032838470770722104
order_items_item_last_24_24_product_type_cd_a_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_first_chr_final_key_cd_u_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_mdsp_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_wood_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_24_24_major_categ_cd_food_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_s_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_6_12_trans_amt_payment_sum,0.0006189790870785682,0.0003356734756265252,0.0006739958466089198,0.0008488593043426546,0.000787749084609194,0.0005453456559315,0.0006351004090328937
prospect_preliminary_pr_24_24_match_group_individual_ct_16_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_6_12_business_src_cd_b_orig_order_value_amt_min,0.0,0.00027807224690802856,0.0005854153546529809,0.000510108521938117,0.00046946144780779915,0.0005262330887918271,0.0003948817766831254
trans_trans_last_12_24_trans_type_cd_650_trans_amt_sum,0.000568611729632691,0.0008684604625854582,0.0008770010042005258,0.0009284973096510711,0.001104446425412644,0.0007249176470842506,0.0008453224297611068
trans_trans_last_6_12_lob_cd_9_trans_amt_payment_max,0.0,0.00045966278896946946,0.0002562097484193291,0.00016080931762832532,0.00013507735919263082,0.000132001125360184,0.00019062672326165646
efforts_prospect_eff_business_category_cd_c_days_since_effort_max,0.002746504559748507,0.0022849210604305205,0.002074509675028308,0.0022653984593117658,0.0023545398221063774,0.00282722414221305,0.002425516286473088
order_items_item_last_0_6_major_categ_cd_mdsp_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_21_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_14_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_business_src_cd_a_orig_order_value_amt_sd,0.0002535033604072926,0.0009895737380964157,0.0008559127568123474,0.0010345143113439674,0.0009084121476552828,0.0007760841114743206,0.0008030000709649378
order_items_item_last_6_12_major_categ_cd_magz_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_full_solicited_class_cd_h_days_since_xsell_effort_max,0.0009261233260493092,0.0022363704374031177,0.0020208243336410263,0.0021954648268913603,0.0016695494168420678,0.0018044309666743258,0.0018087938845835344
efforts_customer_eff_last_6_12_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_lob_cd_1_orig_order_value_amt_min,0.00022043553304053765,0.00022717535863251134,0.00035725442501835443,0.0004567422564115503,0.0002813882564662119,0.00039749984739509067,0.00032341594616070937
composite_orders_ords_last_6_12_order_pay_catg_cd_k_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_t_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_24_24_trans_type_cd_650_trans_amt_max,0.0004188387475498995,0.0011339311126996902,0.0014691317031163783,0.0014052793136823327,0.0013549033699433645,0.0012947422833686627,0.001179471088393388
