,features,importances
33,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_max,0.0004501116028895461
24,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,0.00042346644011400156
63,order_items_item_last_12_24_line_item_qty_min,0.00034701868930586444
85,orders_ords_last_12_24_order_pay_catg_cd_d_orig_order_value_amt_min,0.000336275772525363
45,trans_trans_last_12_24_trans_type_cd_refunds_trans_amt_min,0.00031892590992586243
59,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_min,0.00010883296754915106
60,customer_order_inquiry_cs_last_24_24_order_no_countdist,7.749710180823873e-05
74,efforts_customer_eff_last_24_24_effort_type_cd_ic_effort_id_countdist,0.0
73,efforts_customer_eff_last_12_24_effort_type_cd_27_effort_id_countdist,0.0
57,efforts_xsell_eff_last_6_12_business_category_cd_a_order_no_countdist,0.0
21,orders_ords_last_6_12_lob_cd_9_orig_order_value_amt_sd,0.0
49,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,0.0
26,efforts_xsell_eff_last_6_12_lob_cd_1_order_no_countdist,0.0
30,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,0.0
