,features,importances
33,efforts_xsell_eff_last_6_12_business_category_cd_a_order_no_countdist,0.0
80,orders_ords_last_0_6_effort_type_cd_cross_sell_orig_order_value_amt_mean,0.0
7,efforts_xsell_eff_last_6_12_lob_cd_1_order_no_countdist,0.0
34,orders_ords_last_12_24_lob_cd_1_orig_order_value_amt_min,0.0
6,trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_min,0.0
85,efforts_customer_eff_last_24_24_effort_type_cd_ic_effort_id_countdist,0.0
38,customer_order_inquiry_cs_last_6_12_comm_channel_type_cd_m_order_no_line_item_no_countdist,0.0
60,orders_ords_last_6_12_lob_cd_9_orig_order_value_amt_sd,0.0
21,online_inbound_email_in_last_6_6_email_undel_sum,0.0
62,composite_orders_ords_last_12_24_order_pay_catg_cd_d_per,0.0
67,efforts_xsell_eff_last_12_24_xsell_category_cd_a_order_no_countdist,0.0
