,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
composite_order_items_item_last_24_24_major_categ_cd_mdso_per,0.00016640498669784847,0.0001938940220708592,0.00026732290563628825,0.0002577160987802687,0.00022939856004828283,0.00019390768634283475,0.00021810737659606365
order_items_item_last_0_6_major_categ_cd_hort_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_6_12_major_categ_cd_jwly_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_a_line_item_qty_max,0.0,1.6384009306784863e-05,2.664386056763542e-05,3.5932919835033114e-05,9.109374936559523e-05,5.708961903210994e-05,3.7857359684526426e-05
efforts_customer_eff_last_0_6_effort_type_cd_id_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.0,0.00037712413609934566,0.0006243767895322881,0.0005697106531892365,0.0006591558006598744,0.0003994930669442892,0.0004383100744041724
merkle_household_mv033_cooking,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_first_chr_final_key_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_order_pay_catg_cd_g_orig_order_value_amt_mean,0.0006824289274013203,0.0003488262023045937,0.00027378525207391623,0.0001540423119991941,0.00015540778462820994,8.966187873705038e-05,0.00028402539285738083
nonorders_nonords_last_12_24_lob_cd_9_count,0.005146847595157049,0.0027610563699281224,0.0017882775588893502,0.0014323560026902225,0.0009440369746865476,0.001267482267174434,0.0022233427947542877
orders_ords_last_0_6_lob_cd_i_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_first_chr_final_key_cd_v_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_swat_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_xsell_category_cd_ukn_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_comm_channel_type_cd_t_orig_order_value_amt_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_full_first_chr_final_key_cd_d_effort_id_countdist,5.785257867301657e-05,0.0005097842830904723,0.0005967236282301056,0.0005708740118277062,0.0006222860185669695,0.0006310943909172663,0.0004981024852175894
efforts_xsell_eff_last_6_12_affinity_cd_audio_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_order_pay_catg_cd_k_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_12_24_trans_type_cd_650_trans_amt_mean,0.00019858860200672518,0.0008511172918488116,0.000653850385863293,0.001055816384747682,0.0007497721692136319,0.0007436616513630005,0.0007088010808405241
merkle_household_vw106_number_credit_lines,0.00023115554590268702,0.0009587241148175639,0.0011126622314642665,0.001427505107511438,0.0012179552830472791,0.0012709692510167367,0.0010364952556266617
order_items_item_last_12_24_major_categ_cd_spmi_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fifth_chr_final_key_cd_9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,0.014905573143062945,0.01024059834062412,0.00580442571218136,0.004611792023061748,0.004750876133094228,0.004098161280604419,0.007401904438771469
efforts_xsell_eff_last_0_6_xsell_category_reason_cd_1_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_24_24_solicited_class_cd_h_order_no_countdist,0.0,0.00012149542398476958,0.00017041104927700997,0.00035884172681212886,0.0003541625434197381,0.0003105360766204681,0.00021924113668568578
efforts_xsell_eff_last_0_6_xsell_category_cd_t_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_affinity_cd_audio_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_1_effort_id_countdist,8.761706454580562e-05,0.0003584864176398267,0.0005939483610869986,0.0006780972175272848,0.0007913878768652495,0.0008350816707370377,0.0005574364347337004
prospect_preliminary_pr_24_24_match_group_individual_ct_8_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_major_categ_cd_prem_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_b_line_item_qty_sum,0.00015399325958408716,0.00021255713297941813,0.00036311056155083316,0.0003367283171983494,0.00033120730845034044,0.0002398726494821365,0.00027291153820752746
efforts_prospect_eff_effort_type_cd_d_days_since_effort_min,0.0,0.0008382274900125122,0.0010860900154670257,0.0011436095676112,0.0012018851429856032,0.0012109996561013316,0.0009134686453629454
orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.0,0.0002497926686548703,0.0005730812689689503,0.0005871960193340412,0.0006110200129975095,0.0006483053674200555,0.0004448992228959045
efforts_xsell_eff_last_24_24_lob_cd_2_order_no_countdist,0.0,0.00024775780311764187,0.00017074318943286374,0.00023061502111935771,0.0001612250008139289,0.00014834200533944808,0.00015978050330387337
efforts_customer_eff_last_full_fourth_chr_final_key_cd_3_effort_id_countdist,0.0,0.00036721572383179165,0.0004458057939213295,0.00046751886452498637,0.0005716658020505417,0.0006349673350654425,0.00041452891989901525
orders_ords_last_24_24_lob_cd_i_order_no_countdist,0.0,0.0,0.00016242388792220137,0.0002514325048776045,0.000289592553316338,0.0002298382571354257,0.00015554786720859494
orders_ords_last_6_12_order_pay_catg_cd_d_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_full_first_chr_final_key_cd_p_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_h_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_0_6_lob_cd_1_trans_amt_payment_sd,0.0008366335051542339,0.0008323397912674936,0.00015773663915303994,0.00035060623586794854,0.00018405646958955,0.00020208405817516675,0.0004272427832012388
efforts_xsell_eff_last_12_24_solicitation_type_cd_r_xsell_effort_id_countdist,0.0,0.00022897570932969117,0.00014357750864368873,8.435168412372771e-05,0.000154020067627796,0.00025678553090057306,0.0001446184167709128
orders_ords_last_6_12_lob_cd_i_orig_order_value_amt_sum,0.00017799548132789493,0.00037155986005854,0.0003675553841457191,0.00032227355093984256,0.000280488568013956,0.000243412784938133,0.00029388093823734757
efforts_customer_eff_last_0_6_lob_cd_2_effort_id_countdist,0.000871744639180366,0.0004026613094695661,0.00046757111773661707,0.0005460895503669072,0.0004763418500975996,0.0006825946368594413,0.0005745005172850829
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_y_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_line_item_qty_min,0.0017302663334196461,0.0005746615707446435,0.0001929718245785448,0.00015088198592843214,6.270743273366662e-05,3.2897449723189644e-05,0.00045739776618802043
efforts_prospect_eff_last_full_first_chr_final_key_cd_s_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_r_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_12_24_order_no_countdist,0.0,4.9953493911768676e-05,0.00019550542016896197,0.0002489531620057993,0.0003051565427103662,0.0002800358685139839,0.00017993408121848002
order_items_item_last_24_24_product_type_cd_a_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_first_chr_final_key_cd_u_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_mdsp_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_wood_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_24_24_major_categ_cd_food_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_s_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_6_12_trans_amt_payment_sum,0.0,0.00025692564355021206,0.0004784334009983701,0.0005077058763060566,0.0006358301190182291,0.0004563260666928421,0.00038920351776095165
prospect_preliminary_pr_24_24_match_group_individual_ct_16_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_6_12_business_src_cd_b_orig_order_value_amt_min,0.0004520642884528693,0.0001944543373614533,0.00032261763894394504,0.00047042614804455125,0.0004787768260910905,0.00034789009903047534,0.00037770488965406415
trans_trans_last_12_24_trans_type_cd_650_trans_amt_sum,0.0008228672026665961,0.0003355221067882673,0.0005900631113675848,0.0005589305745534542,0.0005672317125826618,0.0004996480046213993,0.0005623771187633273
trans_trans_last_6_12_lob_cd_9_trans_amt_payment_max,0.0,0.0001845674771610062,0.0001796013544820808,0.00010658385486719157,0.00016168011934062425,0.00014016205322029294,0.0001287658098451993
efforts_prospect_eff_business_category_cd_c_days_since_effort_max,0.0035713327384358303,0.0030179895957199838,0.0017435065899919955,0.001954261961836276,0.0022521006585776967,0.0017922434174034675,0.002388572493660875
order_items_item_last_0_6_major_categ_cd_mdsp_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_21_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_14_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_business_src_cd_a_orig_order_value_amt_sd,0.0,0.0008240223619553648,0.0004693804100266893,0.0007009341687177787,0.0006583911752504174,0.0007156557975650207,0.0005613973189192118
order_items_item_last_6_12_major_categ_cd_magz_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_mv038_home_decorating,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_full_solicited_class_cd_h_days_since_xsell_effort_max,0.0017600212103949075,0.0010386952657743846,0.001334411911148979,0.0014317782139573313,0.0014419189793192482,0.0011726449244817937,0.0013632450841794409
efforts_customer_eff_last_6_12_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_lob_cd_1_orig_order_value_amt_min,2.418217890584569e-05,0.00025903203026876316,0.0003679325943378301,0.00041117836378022486,0.0003101800067367193,0.0003772825048613917,0.0002916312798151291
composite_orders_ords_last_6_12_order_pay_catg_cd_k_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_t_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_24_24_trans_type_cd_650_trans_amt_max,0.0005110382686563993,0.0006210899802734424,0.0010863954815762014,0.0010061334077708592,0.0008359241824121979,0.0008581602111922133,0.0008197902553135522
prospect_preliminary_pr_12_24_match_group_individual_ct_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_product_type_cd_a_line_item_qty_sum,0.0,6.721920788971386e-05,0.0001996147239105253,0.0002561967578449683,0.0002893076337890146,0.0002614094267469365,0.0001789579583635264
efforts_customer_eff_last_full_fifth_chr_final_key_cd_0_effort_id_countdist,0.002169683862568616,0.001477981660325731,0.0012652406327747715,0.0013679842107076575,0.0012792832406063354,0.001367614146750125,0.0014879646256222058
orders_ords_last_6_12_order_pay_catg_cd_k_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_orders_ords_last_12_24_order_pay_catg_cd_d_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_third_chr_final_key_cd_6_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_business_category_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_0_6_affinity_cd_ukn_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_19_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_full_second_chr_final_key_cd_v_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_2_effort_id_countdist,0.0,2.4952426541171437e-05,0.00013856502581985426,0.00032937381349897895,0.00025053441297584526,0.00024515899831959825,0.00016476411285924137
efforts_customer_eff_last_24_24_effort_type_cd_27_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_xb017_merchandise_general,8.816685661325038e-05,0.00042482173898677886,0.0002760630425365067,0.0005560433564454453,0.0006954268599371696,0.0007293801760903606,0.00046165033843491857
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_b_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_6_12_lob_cd_2_effort_id_countdist,0.0,0.0008482299575185361,0.0004462075431077478,0.0006010237369747729,0.0005801929956320316,0.0004914413207486723,0.0004945159256636268
orders_ords_last_12_24_order_pay_catg_cd_d_orig_order_value_amt_mean,0.0,0.00030434877158022015,0.00037197602741352554,0.0003435427347418153,0.00037946009351543555,0.0002208466218523035,0.00027002904151721667
trans_trans_last_12_24_trans_type_cd_refunds_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_lob_cd_2_orig_order_value_amt_min,0.000632584266041522,0.0009727655586106393,0.0007309432301872171,0.0005776760749874335,0.0006001691803121962,0.0004288696557715868,0.0006571679943184324
efforts_customer_eff_last_12_24_effort_type_cd_a_effort_id_countdist,0.0,0.00026967543249357745,0.00024114872463638646,0.00018103102750722592,0.0002565990995924583,0.00024013131974444675,0.00019809760066234915
orders_ords_last_12_24_comm_channel_type_cd_i_orig_order_value_amt_max,0.0,0.00048543251240363287,0.0006305089995767333,0.00040669548616017884,0.0006594313059042446,0.0004983314101311627,0.00044673328569599203
order_items_item_last_24_24_product_type_cd_a_unit_cost_amt_mean,0.0,0.000389718785150763,0.00037833760328845063,0.0005081258766260437,0.0005322710308569661,0.00042574512641299997,0.00037236640372253723
online_inbound_email_in_last_3_6_email_open_sum,0.0014494921784772518,0.00127387673883834,0.0014971623090213476,0.0011315158678895949,0.0010144004862577046,0.0010722897169101193,0.0012397895495657263
trans_trans_last_0_6_trans_amt_payment_mean,6.726354671214178e-05,0.0004691256240293486,0.0006602726776158365,0.0007551095750279236,0.000478158405083706,0.0004400049728600843,0.00047832246688817346
efforts_welcome_eff_last_full_third_chr_final_key_cd_c_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_1_effort_id_countdist,0.0,0.00013382676201234556,0.00041772677532697893,0.00043380223810993455,0.0005091416221406847,0.0006177162227074356,0.00035203560338289654
efforts_xsell_eff_last_0_6_xsell_category_cd_p_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_first_chr_final_key_cd_o_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonorders_nonords_last_0_6_count,0.02621939338067615,0.005974183196704813,0.004022306721722236,0.0031694731331244606,0.002250316045757211,0.0018293617906439872,0.007244172378104811
efforts_xsell_eff_last_0_6_lob_cd_9_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_6_12_lob_cd_1_orig_order_value_amt_min,0.0,0.0002445316562012184,0.0003373728052409962,0.00014354383274344624,0.00022429734284642035,0.0003347877931676227,0.00021408890503328397
merkle_household_mv043_mail_buyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_6_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_24_24_business_category_cd_b_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_product_type_cd_a_unit_cost_amt_sum,0.00026601495101059787,0.00039458586173072863,0.0005514689869160945,0.00020534300914077554,0.00027950391960281345,0.00019866565182724856,0.0003159303967047098
order_items_item_last_6_12_major_categ_cd_mdse_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_sd,0.0007604507607690373,0.0006061778180585344,0.00048762506827235494,0.00019830852968974103,0.0002232424999139618,0.0001582153282172965,0.0004056700008201544
trans_trans_last_12_24_lob_cd_1_trans_amt_payment_max,0.0002164793838625647,0.000311361341195048,0.00028211048143186016,0.0002877166375334045,0.00024067179589351686,0.00022253857838914912,0.0002601463697175905
composite_order_items_item_last_12_24_major_categ_cd_self_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
